Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine ciblé,Domaine,Code de la discipline,Discipline,Code du secteur disciplinaire,Secteur disciplinaire,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Taux de chômage national
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,90,69,50,37,67,85,1630,25400,1300,1830,32,9.3
2020-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,84,59,38,25,58,86,1600,27100,1430,1800,40,6.9
2016-01-01,MASTER LMD,30 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,80,ns,ns,ns,ns,ns,ns,ns,ns,ns,31,8.5
2012-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,87,66,49,38,62,81,1550,24200,1270,1720,38,10.1
2016-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,87,63,37,31,68,82,1400,21800,1250,1700,42,8.5
2018-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,86,79,41,53,80,92,1850,28900,1570,2200,45,7.8
2017-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,86,80,41,54,64,95,1700,26500,1460,2000,48,7.8
2013-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,87,66,32,54,59,94,1600,25000,1350,1980,46,9.9
2019-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,92,85,51,56,78,96,1900,29600,1600,2240,48,7.2
2019-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,83,78,44,56,67,95,1700,29600,1470,2050,48,7.2
2020-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues étrangères appliquées",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_07,Langues étrangères appliquées,91,83,50,53,79,95,2000,31200,1700,2440,46,6.9
2013-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_08,Littérature générale et comparée,87,80,71,17,74,89,1700,26500,ns,ns,34,9.9
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_08,Littérature générale et comparée,89,78,61,29,68,86,ns,ns,ns,ns,47,9.3
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Littérature générale et comparée",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_08,Littérature générale et comparée,86,79,62,22,71,92,ns,ns,ns,ns,39,9.3
2013-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_09,"Sciences du langage, linguistique",88,76,51,41,44,78,1640,25600,1250,1930,33,9.9
2016-01-01,MASTER LMD,30 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_09,"Sciences du langage, linguistique",92,88,69,62,77,89,ns,ns,ns,ns,37,8.5
2017-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_11,"Pluridisciplinaire lettres, langues, sciences humaines",71,ns,ns,ns,ns,ns,ns,ns,ns,ns,43,7.8
2018-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_11,"Pluridisciplinaire lettres, langues, sciences humaines",73,84,46,34,74,85,1850,28900,1530,2300,45,7.8
2018-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_12,"Pluridisciplinaire lettres, sciences du langage, arts",88,75,47,36,52,78,1570,24400,ns,ns,35,7.8
2019-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_12,"Pluridisciplinaire lettres, sciences du langage, arts",90,72,32,34,59,81,1600,25000,1320,1950,40,7.2
2019-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_12,"Pluridisciplinaire lettres, sciences du langage, arts",77,68,29,34,53,77,1470,25000,ns,ns,40,7.2
2016-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_12,"Pluridisciplinaire lettres, sciences du langage, arts",87,ns,ns,ns,50,ns,ns,ns,ns,ns,44,8.5
